Date|Type
August 30, 1905|Partial
January 3, 1908|Partial
June 28, 1908|Partial
June 17, 1909|Partial
April 28, 1911|Partial
April 17, 1912|Partial
October 10, 1912|Partial
February 3, 1916|Partial
invalid date|Total
June 8, 1918|Total
November 22, 1919|Partial
November 10, 1920|Partial
September 10, 1923|Partial
January 24, 1925|Partial
July 9, 1926|Partial
invalid date|Total
April 28, 1930|Partial
August 31, 1932|Partial
February 3, 1935|Partial
April 19, 1939|Partial
April 7, 1940|Partial
January 25, 1944|Partial
July 9, 1945|Partial
November 23, 1946|Partial
November 12, 1947|Partial
March 7, 1951|Partial
September 1, 1951|Partial
June 30, 1954|Partial
September 20, 1960|Partial
July 20, 1963|Partial
May 9, 1967|Partial
September 11, 1969|Partial
March 7, 1970|Partial
July 10, 1972|Partial
December 24, 1973|Partial
December 13, 1974|Partial
October 12, 1977|Partial
February 26, 1979|Partial
August 10, 1980|Partial
May 30, 1984|Partial
October 3, 1986|Partial
March 7, 1989|Partial 
July 11, 1991|Partial
May 21, 1993|Partial 
May 10, 1994|Partial
February 26, 1998|Partial
December 25, 2000|Partial
December 14, 2001|Partial
August 31, 1932|Partial
February 3, 1935|Partial
April 19, 1939|Partial
April 7, 1940|Partial
January 25, 1944|Partial
July 9, 1945|Partial
November 23, 1946|Partial
November 12, 1947|Partial
March 7, 1951|Partial
September 1, 1951|Partial
June 30, 1954|Partial
September 20, 1960|Partial
July 20, 1963|Partial
May 9, 1967|Partial
September 11, 1969|Partial
March 7, 1970|Partial
July 10, 1972|Partial
December 24, 1973|Partial
December 13, 1974|Partial
October 12, 1977|Partial
February 26, 1979|Partial
August 10, 1980|Partial
May 30, 1984|Partial
October 3, 1986|Partial
June 10, 2002|Partial
April 8, 2005|Partial
May 20, 2012|Partial
October 23, 2014|Partial
August 21, 2017|Partial
October 14, 2023|Partial
April 8, 2024|Total
January 26, 2028|Partial
January 14, 2029|Partial
November 14, 2031|Partial
March 30, 2033|Partial
January 5, 2038|Partial
July 2, 2038|Partial
June 21, 2039|Partial
November 4, 2040|Partial
August 12, 2045|Total
June 11, 2048|Partial
March 30, 2052|Partial
January 27, 2055|Partial
January 16, 2056|Partial
July 12, 2056|Partial
July 1, 2057|Partial
June 22, 2066|Partial
June 11, 2067|Partial
December 6, 2067|Partial
November 24, 2068|Partial
September 23, 2071|Partial
November 15, 2077|Partial
May 11, 2078|Partial
February 27, 2082|Partial
February 16, 2083|Partial
September 23, 2090|Partial
February 7, 2092|Partial
July 23, 2093|Partial
December 7, 2094|Partial
March 21, 2099|Partial
September 14, 2099|Partial
March 10, 2100|Partial
